,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2011-KIA-FORTE+SX-for-Sale,"$ 6,057 USD",Coupe,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,"$ 10,639 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,KNAFW6A31B5361082  Get instaVIN history report,
Salvage-2008-Honda-CIVIC+LX-for-Sale,"$ 3,112 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,FL - JACKSONVILLE WEST,184720 EXEMPT,,Rear end,"$ 4,242 USD",Unknown,Future Sale,Pure sale,Front end,,FL CERTIFICATE OF DESTRUCTION,2HGFA16588H343289  Get instaVIN history report,
Salvage-2018-KIA-FORTE+LX-for-Sale,"$ 15,474 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,AL - MONTGOMERY,2281 ACTUAL,,Rollover,"$ 15,474 USD",Unknown,Future Sale,Pure sale,,,AL SALVAGE TITLE,3KPFK4A7XJE195556  Get instaVIN history report,
Salvage-2011-Buick-ENCLAVE+CX-for-Sale,"$ 9,439 USD",4dr sport,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.6L 6,Gasoline,YES,AL - MOBILE,205785 ACTUAL,,Mechanical,"$ 5,138 USD",Unknown,Future Sale,Pure sale,,,AL CLEAN TITLE,5GAKRBED1BJ234720  Get instaVIN history report,
Salvage-2017-KIA-SPORTAGE+L-for-Sale,"$ 15,400 USD",4dr sport,,Silver,4,ALL WHEEL DRIVE,2.4L 4,Gasoline,YES,RENTAL VEHICLE SALE,66727 ACTUAL,,Side,,Run & drive verified,Future Sale,On minimum bid,,TTL DELAY + 15WKS POST SALE,CA SALVAGE CERTIFICATE,KNDPMCAC0H7255974  Get instaVIN history report,
Salvage-2013-Honda-CIVIC-for-Sale,"$ 8,144 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,NY - LONG ISLAND,0 NOT ACTUAL,,Front end,"$ 8,535 USD",Unknown,Future Sale,On minimum bid,Rear end,,NY MV907A DISMANTLERS,19XFB2F5XDE248451  Get instaVIN history report,
Salvage-2016-GMC-TERRAIN+SL-for-Sale,"$ 15,558 USD",4dr sport,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.4L 4,Flexible fuel,YES,IN - INDIANAPOLIS,48539 ACTUAL,,Rear end,"$ 10,815 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,IN SALVAGE TITLE,2GKALNEK4G6138374  Get instaVIN history report,
Salvage-2009-Nissan-ALTIMA+2.5-for-Sale,"$ 3,711 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,NC - CHINA GROVE,171564 EXEMPT,,Rear end,"$ 3,758 USD",Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,1N4AL21E69N479127  Get instaVIN history report,
Salvage-2011-Honda-ACCORD+SE-for-Sale,"$ 9,152 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,83671 ACTUAL,,Front end,"$ 7,629 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1HGCP2F65BA020324  Get instaVIN history report,
Salvage-2015-Dodge-CHARGER+SX-for-Sale,"$ 14,078 USD",Sedan 4 door,09/10/2019 at 09.00 AM EDT,Charcoal,6,REAR-WHEEL DRIVE,3.6L 6,Flexible fuel,YES,NC - RALEIGH,106892 ACTUAL,,Hail,"$ 12,489 USD",Run & drive verified,09/10/2019 at 10.00 AM EDT,On minimum bid,,,NC SALVAGE CERTIFICATE,2C3CDXHG0FH825539  Get instaVIN history report,
Salvage-2003-Honda-CR-V+EX-for-Sale,,4dr sport,Virtual Sale date not set,Maroon,4,ALL WHEEL DRIVE,2.4L 4,Gasoline,YES,MN - MINNEAPOLIS NORTH,164176 EXEMPT,,Mechanical,,Unknown,Future Sale,On approval,Minor dent/scratches,VEH LOC @ BUNKER SUBLOT,MN CLEAN TITLE,SHSRD78843U111051  Get instaVIN history report,
Salvage-2015-Chrysler-200+LIMITED-for-Sale,"$ 9,330 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,144252 ACTUAL,,Front end,"$ 9,330 USD",Vehicle Starts,Future Sale,Pure sale,Side,,IN SALVAGE TITLE,1C3CCCAB8FN556398  Get instaVIN history report,
Salvage-2017-Dodge-GRAND+CARAVAN-for-Sale,"$ 20,624 USD",Sports van,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.6L 6,Flexible fuel,YES,MI - DETROIT,8505 ACTUAL,,Front end,"$ 17,325 USD",Run & drive verified,Future Sale,Pure sale,,,MI CLEAN TITLE,2C4RDGCG4HR848641  Get instaVIN history report,
Salvage-2015-BMW-428+I-for-Sale,"$ 19,829 USD",Sedan 4 door,Virtual Sale date not set,Black,4,REAR-WHEEL DRIVE,2.0L 4,Gasoline,YES,MA - SOUTH BOSTON,57074 ACTUAL,,Water/flood,"$ 19,552 USD",Unknown,Future Sale,On approval,Mechanical,,MA FLOOD SALVAGE,WBA4A5C51FD418438  Get instaVIN history report,
Salvage-2006-Acura-MDX+TOURING-for-Sale,"$ 5,063 USD",4dr sport,Virtual Sale date not set,Teal,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,TX - AUSTIN,158400 ACTUAL,,Front end,"$ 6,325 USD",Run & drive verified,Future Sale,Pure sale,,,TX SALVAGE VEHICLE TITLE,2HNYD18616H521278  Get instaVIN history report,
Salvage-2011-Lincoln-MKZ-for-Sale,"$ 6,532 USD",Sedan 4 door,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,IL - CHICAGO NORTH,137723 ACTUAL,,Front end,"$ 6,211 USD",Run & drive verified,Future Sale,On minimum bid,,,IL SALVAGE CERTIFICATE,3LNHL2GC8BR767213  Get instaVIN history report,
Salvage-2016-Chevrolet-MALIBU+LT-for-Sale,"$ 15,823 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,IN - INDIANAPOLIS,56009 ACTUAL,,Rear end,"$ 8,237 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1G1ZF5SX2GF184127  Get instaVIN history report,
Salvage-2011-Toyota-CAMRY+BASE-for-Sale,"$ 9,103 USD",Sedan 4 door,09/09/2019 at 11.30 AM PDT,Silver,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,NO,AZ - PHOENIX,0 NOT ACTUAL,,Rear end,,Unknown,09/09/2019 at 12.00 PM PDT,On minimum bid,Mechanical,,AZ SALVAGE CERTIFICATE,4T4BF3EK6BR091646  Get instaVIN history report,
Salvage-2006-Chevrolet-MALIBU+LT-for-Sale,,Sedan 4 door,Virtual Sale date not set,Red,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,NC - RALEIGH,214059 EXEMPT,,Front end,,Unknown,Future Sale,On minimum bid,Mechanical,,NC SALVAGE CERTIFICATE,1G1ZT53846F135400  Get instaVIN history report,
Salvage-2015-Toyota-AVALON+XLE-for-Sale,"$ 21,529 USD",Sedan 4 door,Virtual Sale date not set,Gray,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,NC - RALEIGH,31952 ACTUAL,,Water/flood,"$ 4,215 USD",Unknown,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,4T1BK1EB9FU166016  Get instaVIN history report,
Salvage-2009-Toyota-CAMRY+SE-for-Sale,"$ 5,651 USD",Sedan 4 door,Virtual Sale date not set,Gray,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,NO,IN - INDIANAPOLIS,0 EXEMPT,,Front end,"$ 8,720 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,4T1BK46KX9U080959  Get instaVIN history report,
Salvage-2007-Toyota-SIENNA+XLE-for-Sale,"$ 6,875 USD",Sports van,Virtual Sale date not set,Blue,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,MI - DETROIT,208664 EXEMPT,,Rear end,"$ 6,382 USD",Run & drive verified,Future Sale,Pure sale,,,MI CLEAN TITLE,5TDBK22C47S003710  Get instaVIN history report,
Salvage-2008-Ford-EXPEDITION-for-Sale,"$ 7,829 USD",4dr sport,Virtual Sale date not set,Silver,8,REAR-WHEEL DRIVE,5.4L 8,Gasoline,YES,NC - RALEIGH,164394 EXEMPT,,Water/flood,,Unknown,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,1FMFK15578LA46333  Get instaVIN history report,
Salvage-2013-Volkswagen-PASSAT+SE-for-Sale,"$ 8,866 USD",Sedan 4 door,Virtual Sale date not set,Charcoal,4,FRONT-WHEEL DRIVE,2.0L 4,Diesel,YES,MN - ST. CLOUD,137195 ACTUAL,,Front end,"$ 13,895 USD",Run & drive verified,Future Sale,Pure sale,,,SD SALVAGE TITLE,1VWBN7A33DC094906  Get instaVIN history report,
Salvage-2009-Buick-ENCLAVE+CX-for-Sale,"$ 6,200 USD",4dr sport,Virtual Sale date not set,Silver,6,FRONT-WHEEL DRIVE,3.6L 6,Gasoline,YES,IN - INDIANAPOLIS,154423 ACTUAL,,Front end,"$ 6,549 USD",Run & drive verified,Future Sale,Pure sale,Side,,IN SALVAGE TITLE,5GAER23D59J188691  Get instaVIN history report,
Salvage-2006-Dodge-STRATUS+SX-for-Sale,"$ 2,600 USD",Sedan 4 door,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,170656 ACTUAL,,Rear end,"$ 3,100 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1B3EL46XX6N166483  Get instaVIN history report,
Salvage-2007-Honda-ODYSSEY+EX-for-Sale,"$ 4,245 USD",Sports van,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - INDIANAPOLIS,146785 ACTUAL,,Front end,"$ 5,347 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,5FNRL38617B029284  Get instaVIN history report,
Salvage-2011-Hyundai-SONATA+GLS-for-Sale,"$ 5,411 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - MEBANE,118021 ACTUAL,,Front end,"$ 7,370 USD",Run & drive verified,Future Sale,On minimum bid,,,NC SALVAGE CERTIFICATE,5NPEB4AC7BH017397  Get instaVIN history report,
Salvage-2006-Land+Rover-RANGE+ROVER-for-Sale,,4dr sport,Virtual Sale date not set,Green,8,ALL WHEEL DRIVE,4.4L 8,Gasoline,YES,MA - NORTH BOSTON,188077 ACTUAL,,Minor dent/scratches,,Run & drive verified,Future Sale,On approval,,,MA CLEAN TITLE,SALSF25456A975667  Get instaVIN history report,
Salvage-2005-Chevrolet-IMPALA-for-Sale,$ 941 USD,Sedan 4 door,Virtual Sale date not set,Gold,6,FRONT-WHEEL DRIVE,3.4L 6,Gasoline,NO,MN - ST. CLOUD,221623 EXEMPT,,Front end,"$ 13,679 USD",Unknown,Future Sale,Pure sale,Side,,SD SALVAGE TITLE,2G1WF52E159195739  Get instaVIN history report,
Salvage-2016-Chevrolet-VOLT+LT-for-Sale,"$ 18,741 USD",Hatchback,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.5L 4,Hybrid,YES,NJ - SOMERVILLE,20131 ACTUAL,,Water/flood,"$ 15,018 USD",Unknown,Future Sale,On minimum bid,,,NJ FLOOD - SALVAGE,1G1RC6S58GU130744  Get instaVIN history report,
Salvage-2006-Pontiac-MONTANA+SV-for-Sale,"$ 4,176 USD",Sports van,Virtual Sale date not set,Silver,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,NC - CHINA GROVE,122584 EXEMPT,,Side,"$ 3,931 USD",Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,1GMDV33L26D119983  Get instaVIN history report,
Salvage-2001-Ford-WINDSTAR+S-for-Sale,,Extended,Virtual Sale date not set,Green,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,YES,KS - KANSAS CITY,205042 EXEMPT,,Minor dent/scratches,,Run & drive verified,Future Sale,On approval,,,MO CLEAN TITLE,2FMZA53421BA07821  Get instaVIN history report,
Salvage-2014-Dodge-AVENGER+SE-for-Sale,"$ 7,778 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,71941 ACTUAL,,Rear end,"$ 6,872 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1C3CDZAB5EN202580  Get instaVIN history report,
Salvage-2012-Chevrolet-CRUZE+LT-for-Sale,"$ 5,859 USD",Sedan 4 door,Virtual Sale date not set,Tan,4,FRONT-WHEEL DRIVE,1.4L 4,Gasoline,YES,MI - DETROIT,107117 ACTUAL,,Front end,"$ 10,796 USD",Run & drive verified,Future Sale,Pure sale,,,MI CLEAN TITLE,1G1PG5SC2C7133121  Get instaVIN history report,
Salvage-2007-Lexus-GS+350-for-Sale,"$ 7,212 USD",Sedan 4 door,Virtual Sale date not set,Red,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - INDIANAPOLIS,144427 ACTUAL,,Rear end,"$ 7,212 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,JTHCE96S670007071  Get instaVIN history report,
Salvage-1994-Chevrolet-SUBURBAN+K-for-Sale,"$ 2,976 USD",4dr sport,Virtual Sale date not set,Green,8,FOUR BY FOUR,5.7L 8,Gasoline,YES,AZ - PHOENIX,161677 NOT ACTUAL,,Front end,"$ 2,713 USD",Vehicle Starts,Future Sale,Pure sale,Side,,WA CLEAN TITLE,1GNFK16K5RJ350371  Get instaVIN history report,
Salvage-2008-Chevrolet-COBALT+LS-for-Sale,"$ 4,077 USD",Coupe,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.2L 4,Gasoline,YES,TX - EL PASO,113085 EXEMPT,,Front end,,Run & drive verified,Future Sale,Pure sale,,,NM SALVAGE TITLE,1G1AK18F287299841  Get instaVIN history report,
Salvage-2010-KIA-SOUL+%2B-for-Sale,"$ 7,114 USD",4dr sport,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,GA - ATLANTA EAST,61282 ACTUAL,,All over,,Vehicle Starts,Future Sale,Pure sale,,,GA SALVAGE TITLE,KNDJT2A24A7176730  Get instaVIN history report,
Salvage-2010-Ford-ESCAPE+XLT-for-Sale,"$ 6,334 USD",4dr sport,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,IN - INDIANAPOLIS,158405 ACTUAL,,Front end,"$ 7,173 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1FMCU0D78AKB08554  Get instaVIN history report,
Salvage-2007-Volkswagen-JETTA+2.5-for-Sale,,Sedan 4 door,Virtual Sale date not set,Silver,5,FRONT-WHEEL DRIVE,2.5L 5,Gasoline,YES,WA - NORTH SEATTLE,83062 ACTUAL,,Mechanical,,Run & drive verified,Future Sale,On approval,,,CO CLEAN TITLE,3VWSF71K47M036021  Get instaVIN history report,
Salvage-2004-Lexus-RX+330-for-Sale,"$ 7,394 USD",4dr sport,09/12/2019 at 11.30 AM CDT,Green,6,ALL WHEEL DRIVE,3.3L 6,Gasoline,YES,IL - CHICAGO NORTH,71668 ACTUAL,,Front end,"$ 8,930 USD",Run & drive verified,09/12/2019 at 12.00 PM CDT,On minimum bid,Rear end,,IL SALVAGE CERTIFICATE,2T2HA31UX4C011033  Get instaVIN history report,
Salvage-2017-Hyundai-TUCSON+LIMITED-for-Sale,"$ 18,265 USD",4dr sport,Virtual Sale date not set,White,4,ALL WHEEL DRIVE,2.0L 4,Gasoline,YES,CO - DENVER SOUTH,23943 ACTUAL,,Hail,"$ 18,465 USD",Run & drive verified,Future Sale,Pure sale,,,CO CLEAN TITLE,KM8J3CA46HU480656  Get instaVIN history report,
Salvage-2008-Nissan-ALTIMA+2.5-for-Sale,"$ 4,624 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,FL - WEST PALM BEACH,99032 EXEMPT,,Front end,"$ 4,077 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,FL SALVAGE TITLE/REBUILDABLE,1N4AL21E68C230451  Get instaVIN history report,
Salvage-2011-Volkswagen-GOLF-for-Sale,"$ 8,209 USD",Hatchback,09/11/2019 at 11.30 AM CDT,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Diesel,YES,LA - NEW ORLEANS,84641 ACTUAL,,Front end,"$ 6,853 USD",Run & drive verified,09/11/2019 at 12.00 PM CDT,On minimum bid,,,LA SALVAGE TITLE,WVWBM7AJ1BW204934  Get instaVIN history report,
Salvage-2009-Chevrolet-COBALT+LT-for-Sale,"$ 4,485 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.2L 4,Gasoline,YES,FL - MIAMI CENTRAL,101652 ACTUAL,,Front end,"$ 3,589 USD",Run & drive verified,Future Sale,Pure sale,,,FL SALVAGE TITLE/REBUILDABLE,1G1AT58H897185351  Get instaVIN history report,
Salvage-2017-KIA-FORTE+LX-for-Sale,"$ 11,630 USD",Sedan 4 door,,Purple,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,RENTAL VEHICLE SALE,38898 ACTUAL,,Rear end,"$ 11,619 USD",Run & drive verified,Future Sale,On approval,Front end,,MO SALVAGE CERTIFICATE,3KPFL4A76HE146314  Get instaVIN history report,
Salvage-2007-Subaru-LEGACY+2.5-for-Sale,"$ 6,578 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,NC - RALEIGH,110346 EXEMPT,,Water/flood,"$ 6,578 USD",Run & drive verified,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,4S3BL626677215002  Get instaVIN history report,
Salvage-2008-Chrysler-TOWN+%26+COUNTRY-for-Sale,"$ 4,425 USD",Extended,Virtual Sale date not set,Silver,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,YES,IN - INDIANAPOLIS,169875 EXEMPT,,Front end,"$ 4,011 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,2A8HR54P78R687470  Get instaVIN history report,
Salvage-2011-Ford-FUSION+SE-for-Sale,,Sedan 4 door,09/11/2019 at 11.30 AM CDT,Silver,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,IL - SOUTHERN ILLINOIS,68951 ACTUAL,,Rear end,,Vehicle Starts,09/11/2019 at 12.00 PM CDT,On minimum bid,,,IL SALVAGE CERTIFICATE,3FAHP0HA6BR133320  Get instaVIN history report,
Salvage-2018-Honda-ACCORD+LX-for-Sale,"$ 21,125 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,YES,CO - DENVER SOUTH,19737 ACTUAL,,Front end,"$ 20,178 USD",Run & drive verified,Future Sale,Pure sale,,,CO PUBLIC - SALVAGE TITLE,1HGCV1F11JA212925  Get instaVIN history report,
Salvage-2016-KIA-FORTE+LX-for-Sale,"$ 10,231 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,NC - RALEIGH,68446 ACTUAL,,Front end,"$ 7,819 USD",Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,KNAFK4A64G5585061  Get instaVIN history report,
Salvage-2009-Ford-ESCAPE+XLT-for-Sale,"$ 5,000 CAD",4dr sport,,Silver,6,FOUR BY FOUR,3.0L 6,Gasoline,YES,ATLANTIC CANADA AUCTION,259331 ACTUAL,,Front end,"$ 4,414 CAD",Run & drive verified,Future Sale,Pure sale,,,NB SALVAGE TITLE,1FMCU93GX9KA49475  Get instaVIN history report,
Salvage-1993-Toyota-COROLLA+LE-for-Sale,$ 150 USD,Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,MN - MINNEAPOLIS NORTH,0 EXEMPT,,Normal wear,,Run & drive verified,Future Sale,On approval,,VEHICLE LOC @ U PULL R PART,MN CLEAN TITLE,1NXAE09E5PZ052808  Get instaVIN history report,
Salvage-2009-Pontiac-VIBE-for-Sale,"$ 3,188 USD",Hatchback,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,176387 ACTUAL,,Rear end,,Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,IN CLEAN TITLE,5Y2SP67079Z430422  Get instaVIN history report,
Salvage-1998-Honda-CIVIC+EX-for-Sale,"$ 2,840 USD",Coupe,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,GA - ATLANTA SOUTH,122532 EXEMPT,,Front end,"$ 3,197 USD",Unknown,Future Sale,Pure sale,,,GA SALVAGE TITLE,1HGEJ8249WL006762  Get instaVIN history report,
Salvage-2013-Honda-ACCORD+SPORT-for-Sale,"$ 9,541 USD",Sedan 4 door,09/13/2019 at 09.00 AM EDT,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,MA - NORTH BOSTON,97299 ACTUAL,,Front end,"$ 9,624 USD",Run & drive verified,09/13/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,,MA SALVAGE TITLE,1HGCR2F53DA224527  Get instaVIN history report,
Salvage-2011-Subaru-LEGACY+2.5-for-Sale,"$ 10,067 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,MA - NORTH BOSTON,74113 ACTUAL,,Side,"$ 6,110 USD",Run & drive verified,Future Sale,Pure sale,Rear end,,MA SALVAGE TITLE,4S3BMBK66B3229259  Get instaVIN history report,
Salvage-2015-Audi-A5+PREMIUM-for-Sale,,Convertible,Virtual Sale date not set,Black,4,ALL WHEEL DRIVE,2.0L 4,Flexible fuel,YES,NC - RALEIGH,0 NOT ACTUAL,,Water/flood,,Unknown,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,WAUMFAFH1FN009947  Get instaVIN history report,
Salvage-2014-Chevrolet-SPARK+1LT-for-Sale,"$ 7,103 USD",Hatchback,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.2L 4,Gasoline,YES,NJ - GLASSBORO EAST,72142 ACTUAL,,Rear end,"$ 10,516 USD",Run & drive verified,Future Sale,On minimum bid,,,NJ SALVAGE CERTIFICATE,KL8CD6S92EC465782  Get instaVIN history report,
Salvage-2009-KIA-SPECTRA+EX-for-Sale,"$ 3,252 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,IN - INDIANAPOLIS,0 EXEMPT,,Rollover,"$ 6,244 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,KNAFE221095662137  Get instaVIN history report,
Salvage-2017-Ford-TRANSIT+T-for-Sale,"$ 18,991 USD",Sports van,Virtual Sale date not set,White,6,REAR-WHEEL DRIVE,3.7L 6,Flexible fuel,YES,IN - INDIANAPOLIS,62096 ACTUAL,,Side,,Unknown,Future Sale,Pure sale,,VEH LOC @ CICERO SUBLOT,IN SALVAGE TITLE,1FBZX2ZM9HKA72503  Get instaVIN history report,
Salvage-2011-Mazda-3+I-for-Sale,"$ 5,162 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,IN - INDIANAPOLIS,133537 ACTUAL,,Front end,"$ 5,085 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,JM1BL1UG5B1399031  Get instaVIN history report,
Salvage-2018-Hyundai-SONATA+SPORT-for-Sale,"$ 18,552 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,NO,IN - INDIANAPOLIS,54716 ACTUAL,,Rollover,,Unknown,Future Sale,Pure sale,Undercarriage,,IN SALVAGE TITLE,5NPE34AB9JH662314  Get instaVIN history report,
Salvage-2013-Ford-FOCUS+SE-for-Sale,"$ 8,002 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,NO,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,"$ 8,002 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,1FADP3F20DL145668  Get instaVIN history report,
Salvage-2009-Toyota-RAV4-for-Sale,"$ 8,536 USD",4dr sport,Virtual Sale date not set,Brown,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,DC - WASHINGTON DC,0 NOT ACTUAL,,Front end,,Unknown,Future Sale,Pure sale,Rear end,,MD BRANDED SALVAGE CERT 1,JTMBF33V795003767  Get instaVIN history report,
Salvage-1999-Dodge-RAM+VAN+B1-for-Sale,"$ 4,302 USD",Cargo van,Virtual Sale date not set,White,6,REAR-WHEEL DRIVE,3.9L 6,Gasoline,NO,TN - NASHVILLE,0 EXEMPT,,Burn,"$ 7,134 USD",Unknown,Future Sale,Pure sale,,,TN NON-REPAIRABLE,2B6HB11X6XK571407  Get instaVIN history report,
Salvage-2015-Ford-EDGE+TITANIUM-for-Sale,"$ 21,740 USD",4dr sport,Virtual Sale date not set,White,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,LA - NEW ORLEANS,58758 ACTUAL,,Rear end,"$ 15,812 USD",Run & drive verified,Future Sale,Pure sale,,,MS SALVAGE TITLE,2FMTK4K88FBC14819  Get instaVIN history report,
Salvage-2014-Chevrolet-EQUINOX+LS-for-Sale,"$ 12,540 USD",4dr sport,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.4L 4,Flexible fuel,YES,IN - INDIANAPOLIS,59713 ACTUAL,,Side,"$ 15,293 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,2GNALAEK5E6378896  Get instaVIN history report,
Salvage-2015-BMW-M4-for-Sale,"$ 41,723 USD",Coupe,Virtual Sale date not set,White,6,REAR-WHEEL DRIVE,3.0L 6,Gasoline,YES,NC - RALEIGH,0 NOT ACTUAL,,Water/flood,,Unknown,Future Sale,Pure sale,Mechanical,,NC WATER/FLOOD DAMAGE,WBS3R9C51FK330055  Get instaVIN history report,
Salvage-2011-Toyota-CAMRY+BASE-for-Sale,"$ 8,089 USD",Sedan 4 door,Virtual Sale date not set,Green,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,NO,SC - COLUMBIA,0 NOT ACTUAL,,Side,"$ 8,089 USD",Unknown,Future Sale,Pure sale,,,SC SALVAGE TITLE,4T1BF3EK6BU719764  Get instaVIN history report,
