,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2010-Nissan-ALTIMA+BASE-for-Sale,"$ 7,680 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,MN - MINNEAPOLIS NORTH,154100 ACTUAL,,Front end,"$ 7,680 USD",Vehicle Starts,Future Sale,Pure sale,Side,,MN CLEAN TITLE,1N4AL2AP1AN421206  Get instaVIN history report,
Salvage-2009-Jeep-PATRIOT+SP-for-Sale,"$ 5,185 USD",4dr sport,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,FL - JACKSONVILLE WEST,115718 ACTUAL,,Rear end,"$ 3,514 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,FL SALVAGE TITLE/REBUILDABLE,1J4FT28B79D110207  Get instaVIN history report,
Salvage-2017-Nissan-ROGUE+SV-for-Sale,"$ 13,726 USD",4dr sport,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,NO,TN - NASHVILLE,0 NOT ACTUAL,,Front end,"$ 13,726 USD",Unknown,Future Sale,Pure sale,Biohazard/chemical,,KY SALVAGE TITLE,5N1AT2MN5HC851908  Get instaVIN history report,
Salvage-2014-Dodge-GRAND+CARAVAN-for-Sale,"$ 11,726 USD",Sports van,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.6L 6,Flexible fuel,YES,MI - DETROIT,118293 ACTUAL,,Front end,"$ 10,291 USD",Run & drive verified,Future Sale,Pure sale,,,OH CLEAN TITLE,2C4RDGCG3ER122605  Get instaVIN history report,
Salvage-2005-Acura-TL-for-Sale,,Sedan 4 door,,Black,6,FRONT-WHEEL DRIVE,3.2L 6,Gasoline,YES,RENTAL VEHICLE SALE,159971 EXEMPT,,Front end,,Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,19UUA66285A048083  Get instaVIN history report,
Salvage-2004-Pontiac-GRAND+PRIX-for-Sale,"$ 4,478 USD",Sedan 4 door,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,YES,MN - MINNEAPOLIS NORTH,221357 EXEMPT,,Front end,"$ 3,415 USD",Run & drive verified,Future Sale,On minimum bid,,,MN CLEAN TITLE,2G2WR524041147091  Get instaVIN history report,
Salvage-2004-Nissan-ALTIMA+BASE-for-Sale,"$ 3,183 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,SC - COLUMBIA,191835 ACTUAL,,Side,"$ 3,101 USD",Run & drive verified,Future Sale,Pure sale,,VEHICLE LOC@ PINE PLAINS LOT,SC SALVAGE TITLE,1N4AL11D84C169017  Get instaVIN history report,
Salvage-1997-GMC-YUKON-for-Sale,"$ 3,690 USD",4dr sport,Virtual Sale date not set,Red,8,FOUR BY FOUR,5.7L 8,Gasoline,YES,NC - RALEIGH,172379 EXEMPT,,Water/flood,"$ 3,690 USD",Unknown,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,1GKEK13R5VJ729472  Get instaVIN history report,
Salvage-2009-Hyundai-SONATA+SE-for-Sale,"$ 4,145 USD",Sedan 4 door,Virtual Sale date not set,Burgundy,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - RALEIGH,177719 EXEMPT,,Water/flood,"$ 5,456 USD",Run & drive verified,Future Sale,Pure sale,,,NC WATER/FLOOD DAMAGE,5NPEU46C69H467393  Get instaVIN history report,
Salvage-2009-Toyota-VENZA+BASE-for-Sale,"$ 16,078 CAD",4dr sport,Virtual Sale date not set,Brown,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,AB - CALGARY,0 EXEMPT,,Side,"$ 13,302 CAD",Unknown,Future Sale,Pure sale,Front end,"LOCATED IN SASKATOON, SK",AB BILL OF SALE - SALVAGE,4T3BK11A29U025524  Get instaVIN history report,
Salvage-2011-KIA-SORENTO+SX-for-Sale,"$ 7,858 USD",4dr sport,Virtual Sale date not set,Burgundy,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,MO - ST. LOUIS,151911 ACTUAL,,Rear end,"$ 9,709 USD",Run & drive verified,Future Sale,Pure sale,,,MO SALVAGE CERTIFICATE,5XYKW4A2XBG130279  Get instaVIN history report,
Salvage-2013-Subaru-LEGACY+2.5-for-Sale,"$ 13,029 USD",Sedan 4 door,Virtual Sale date not set,Maroon,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,CO - DENVER,44127 ACTUAL,,Front end,"$ 10,150 USD",Vehicle Starts,Future Sale,Pure sale,Rear end,,CO SALVAGE TITLE,4S3BMCG63D3031188  Get instaVIN history report,
Salvage-2013-KIA-OPTIMA+EX-for-Sale,"$ 14,079 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,TX - EL PASO,41695 ACTUAL,,Rear end,"$ 9,133 USD",Run & drive verified,Future Sale,Pure sale,,,NM SALVAGE TITLE,5XXGN4A77DG245630  Get instaVIN history report,
Salvage-2014-Volkswagen-JETTA+BASE-for-Sale,"$ 6,797 USD",Sedan 4 door,09/10/2019 at 09.00 AM EDT,Gray,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,NC - RALEIGH,93375 ACTUAL,,Side,"$ 4,766 USD",Run & drive verified,09/10/2019 at 10.00 AM EDT,On minimum bid,,,NC SALVAGE CERTIFICATE,3VW1K7AJ3EM322017  Get instaVIN history report,
Salvage-2013-Honda-ACCORD+LX-for-Sale,"$ 9,688 USD",Sedan 4 door,Virtual Sale date not set,Gold,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - RALEIGH,98617 ACTUAL,,Front end,"$ 6,936 USD",Run & drive verified,Future Sale,Pure sale,Normal wear,,NC SALVAGE CERTIFICATE,1HGCR2F36DA137087  Get instaVIN history report,
Salvage-2015-Hyundai-SONATA+SE-for-Sale,"$ 11,276 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,157385 ACTUAL,,Front end,,Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,5NPE24AF2FH227440  Get instaVIN history report,
